to have,avoir,ai,as,a,avons,avez,ont
to say,dire,dis,dis,dit,disons,dites,disent
to see,voir,vois,vois,voit,voyons,voyez,voient
to need/to have to,falloir,faut,faut,faut,faut,faut,faut
to go,aller,vais,vas,va,allons,allez,vont
to know,savoir,sais,sais,sait,savons,savez,savent
to take/to catch,prendre,prends,prends,prend,prenons,prenez,prennet
to do/to make,faire,fais,fais,fait,faisons,faites,font
to help/to assist,aider,aide,aides,aide,aidons,aidez,aident
to find,trouver,trouve,trouves,trouve,trouvons,trouvez,trouvent
to leave,partir,pars,pars,part,partons,partez,partent
to come,venir,viens,viens,vient,venons,venez,viennent
to leave,sortir,sors,sors,sort,sortons,sortez,sortent
to speak,parler,parle,parles,parle,parlons,parlez,parlent
to stay/to keep,rester,reste,restes,reste,restons,restez,restent
to search for/to look for,chercher,cherche,cherches,cherche,cherchons,cherchez,cherchent
to pass/to go/ to spend,passer,passe,passes,passe,passons,passez,passent
to leave/to let/ to allow,laisser,laisse,laisses,laisse,laissons,laissez,laissent
to put/to place,mettre,mets,mets,met,mettons,mettez,mettent
to give,donnor,donne,donnes,donne,donnons,donnez,donnent
to be able to do something/can,pouvoir,peux,peux,peut,pouvons,pouvez,peuvent
